feature,mean,std
HR,0.1566423001949318,0.12700147232086878
RR,0.046793372319688144,0.044904748567184606
Age,0.03383040935672517,0.07900399001044534
SBP,0.032426900584795346,0.053207050264402464
Gender,0.020657894736842132,0.06317237571035282
K,0.018820662768031227,0.053279798079839964
SpO2,0.016047758284600425,0.03748293483705552
Cl,0.015653021442495158,0.0349387957006881
GCS,0.012305068226120878,0.03661185424754975
Na,0.007621832358674483,0.037633009448534864
Urea,0.005565302144249518,0.019052567907909126
DBP,0.00514132553606239,0.028406311104028557
Ceratinine,0.0010136452241715527,0.02607420607093958
BT,-0.02173976608187131,0.02588067105108641
